,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,label
0,-0.1874721,0.19531322,-1.015063,0.62811184,-0.31911936,-0.3492133,-0.61528546,0.30889717,-0.30223578,-1.5626274,0.5061535,-0.6199098,0.12961079,-1.0353066,0.49818072,-0.6826103,-1.3138252,-0.9844732,0.259599,0.13214526,-0.028356042,0.15942669,0.08485684,-0.132249,-0.5968718,-0.06149427,0.20266746,0.15394208,0.32705238,1.1027261
1,-0.10563072,-0.021393497,-0.66927594,0.26902938,-0.034733586,-0.18956594,-0.16347519,0.35983774,-0.078927115,-0.5707864,0.15681612,-0.15551208,0.062297925,-0.4595883,0.361672,-0.088742055,-0.4289385,-0.3412969,0.009869322,0.12066165,-0.050103072,0.20785512,0.05432879,0.06871619,-0.33867797,-0.028573578,-0.010964383,0.07654815,0.17970064,0.42946574
2,-0.25984743,0.17917363,-0.85192066,0.4352519,-0.2909336,-0.2528327,-0.5752338,0.33649126,-0.17284691,-1.2067752,0.16319315,-0.43101856,0.101215936,-0.81350696,0.31454813,-0.47600025,-1.0154763,-0.78624284,0.3986183,0.11262487,-0.038246185,0.2059238,0.056799594,-0.13320751,-0.38889876,-0.121243104,0.043862376,0.13751796,0.24585898,0.8485927
3,-0.19934271,0.17088827,-0.79004323,0.5229501,-0.31398708,-0.3292599,-0.45417762,0.41980916,-0.20378397,-0.9868802,0.3458784,-0.39072266,0.1701648,-0.8163851,0.32536533,-0.5420297,-1.0327665,-0.6419095,0.18316564,0.12679845,0.097293235,0.082971156,-0.081748016,-0.21085852,-0.28208736,-0.10505564,0.21116026,0.24905251,0.38780043,0.542596
4,-0.12619178,0.06078032,-0.45424038,0.18940553,-0.14143136,-0.13413851,-0.1901137,0.0837833,-0.08979128,-0.43236595,0.08682948,-0.18175328,0.10664916,-0.36457142,0.15187135,-0.16967916,-0.33391434,-0.23413229,0.030727431,0.021689722,-0.019767713,0.04339951,0.07595618,-0.086459,-0.18933457,0.0061244983,-0.013755412,0.095706575,0.21038541,0.3137557
5,0.075678356,-0.14247373,-0.5680207,0.14226425,0.16815358,-0.17040646,-0.04346543,0.26593867,-0.070654646,-0.23283833,0.025695695,-0.12762949,-0.06963134,-0.26427114,0.31276226,0.019976623,0.075790234,0.045831703,-0.20927334,0.09986084,-0.094329484,0.0800463,0.27487922,0.09398974,-0.20390955,-0.11243789,-0.054704186,0.079492,0.35029554,0.30116466
6,-0.11458256,0.038654663,-0.5216437,0.22749029,-0.004039943,-0.18331727,-0.33664855,0.30130002,-0.097158216,-0.48918554,0.06449979,-0.22452292,-0.029335283,-0.46198,0.37530515,-0.33372298,-0.33817258,-0.25469676,0.09012944,-0.00022614608,-0.11432217,0.04457063,0.21815321,0.048250962,-0.33616823,0.016650716,0.18001705,0.022763237,0.34241846,0.47001648
7,-0.46328977,0.24700531,-1.3122032,0.461544,-0.4758126,-0.6305292,-0.82125515,0.8980737,-0.4568764,-1.7102333,0.40084428,-0.6500439,0.20558476,-1.0263635,0.30998945,-0.80688524,-1.7260302,-1.1824763,0.58148897,0.22251767,-0.09345589,0.18890695,-0.20999534,-0.23567286,-0.51468366,-0.16993561,0.30615148,-0.041350983,0.38438103,0.9270313
8,-0.11616938,0.17463884,-0.7560528,0.42828172,-0.330946,-0.312975,-0.49425435,0.5986634,-0.39113814,-1.0491959,0.27615586,-0.3106702,0.1591055,-0.71749383,0.3060026,-0.4201511,-0.8867998,-0.70462394,0.3313513,0.1609906,-0.028979342,0.19999939,0.040509064,-0.09089342,-0.45094657,-0.03770376,-0.041159477,0.11741662,0.33632404,0.81292534
9,-0.0033368056,-0.05384396,-0.4097606,0.11460963,0.041112438,-0.17840852,0.044533126,0.21353719,0.020696232,-0.1241049,-0.07379453,0.13635942,-0.0134526305,-0.19762304,0.19779558,-0.019469922,0.21421905,0.012831822,-0.017432012,0.029929098,0.004448756,-0.086534105,0.20554365,0.02928969,-0.14428307,-0.011964673,-0.04606609,0.10790579,0.25724408,0.21576151
