,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,label
0,-3.001017,1.636606,-2.871689,3.0898747,-1.9510294,-1.6655182,-2.471367,0.8625796,-2.2007804,-2.883018,2.449222,-3.1140692,0.81355464,-2.5929787,-1.0145425,-2.7887337,-2.9335992,-2.527087,1.6561931,-0.10083252,0.5389995,0.19738746,0.44839796,0.28478828,-0.75216687,0.18916985,0.72115874,-1.051882,0.92764395,1.219532
1,-0.6836874,0.312213,-1.1212093,1.1865268,-0.35523304,0.11657102,-0.7792787,0.3602965,-0.98519474,-0.8846681,0.7231465,-0.84034103,0.84058404,-0.7714432,-0.17258139,-1.2271078,-0.67697215,-0.9995931,0.78075004,-0.060693577,-0.6092539,-0.037897907,-0.58433557,-0.8289983,-0.8110794,0.12716952,1.4846312,-0.7685802,0.9226685,0.32552007
2,-0.519351,0.74340284,-0.8138449,0.64592427,-0.05552257,0.48192018,-0.27185515,0.19797938,-0.5632374,-0.13058172,1.1045752,-0.5479117,-0.1588275,-0.6986963,-0.972775,0.4579333,-0.19224654,0.0042333687,-0.77887285,-0.6686901,1.0358192,-2.1117854,-0.5940143,-2.0718172,0.85123956,0.8452584,1.481089,-0.35826543,0.37734768,0.63554984
3,0.8824715,-0.027415795,-0.07727001,0.088285156,-0.27508888,-0.5262244,0.64854145,0.54176015,-0.022236386,0.018296152,0.3859156,-0.2890815,-0.24988511,-0.14793572,-0.015494514,0.26672068,-0.5625885,0.85531336,-0.18506576,0.53301764,0.44078308,-0.8523011,-0.2933715,0.10624784,-0.23527977,-0.27483118,0.2119539,0.18753101,0.9795353,0.9561629
4,0.79635805,-0.9961217,0.7767025,-0.42435274,0.17694017,0.52749276,1.12715,0.13661583,0.6049166,0.19677813,-0.7242372,0.8917195,0.26379338,0.94524574,0.44623682,0.5770079,0.49062392,0.30620387,-0.3767571,-0.098662004,0.3339036,-0.27532467,-0.9528649,1.6439092,-0.33498278,-0.7412229,-0.63607454,0.34098014,0.6063996,1.0531753
5,-0.055751372,0.3327117,-0.21942654,0.4723061,0.79084796,0.6275293,0.5534493,-1.0103614,-0.33408865,0.27721363,-0.36469337,0.8985595,-0.48312178,0.21717197,0.013623547,0.91781026,0.17219003,-0.11174206,-0.32550266,-1.1080697,0.28048903,-0.84987783,0.58616364,-1.3125643,0.57046825,1.2664913,0.70099485,-1.6394262,-0.11040222,1.3767161
6,-0.8745858,0.28703034,-0.20189278,0.15181814,-0.46352658,-0.111733004,0.34323394,0.18919145,-0.85236084,-0.6200884,0.75799364,0.10683519,-0.55306196,-0.37093768,-0.49963996,-0.42462495,-0.9090363,-0.72365886,1.0020341,-0.8614588,0.38677564,-0.3131346,0.028348528,-0.8636931,0.69890475,0.5992164,-0.13445324,-1.4659464,1.3847241,1.1519376
7,0.47168633,-0.61058545,0.43760392,0.25803754,1.3071989,-0.069666974,0.35186708,-0.5645029,-0.12412097,0.7380353,0.4663879,0.32390642,-0.49636453,-0.7765778,0.68210465,0.6756648,1.0403392,1.401778,-0.66690755,0.38172385,-0.74584275,0.14514832,-0.2339438,-0.86812747,-0.47950858,0.94419605,0.93787086,-0.37618575,-0.84246004,1.2059348
8,-0.16672981,0.30530834,0.19726133,-0.9116636,-0.16718483,-0.32023203,-0.45734373,0.26731265,0.8722737,-0.2869538,-0.41528448,0.29966435,-0.22270028,0.31387287,-0.8296043,0.37703294,0.081631504,0.27884534,-0.33084232,0.15970147,-0.014111569,-0.6304517,-0.040752314,-0.08364606,0.67058814,-1.3605763,-0.75583565,0.26139316,0.6283156,1.0910531
9,0.097174,-1.02069,1.4000854,-0.6379652,-0.027676448,0.48902002,0.42102665,-0.29809105,1.0883062,0.52785957,-1.2792096,1.0550231,0.09865975,1.3836725,0.20989357,0.51846707,0.26763222,0.65347767,0.3105911,-0.040586367,0.24717674,0.41702557,0.55518407,0.81586754,-0.127416,-0.832551,-1.1065363,-0.4943801,1.0616221,0.925208
